mh,up_pb
500.,0.00203588143525741
531.578947368421,0.0017160686427457096
573.6842105263158,0.0014586583463338531
608.2706766917294,0.0012636505460218409
648.1203007518797,0.0011232449297971917
691.7293233082706,0.0009828393135725428
741.3533834586466,0.0008424336973478938
786.4661654135339,0.0007176287051482059
823.3082706766918,0.0006630265210608424
855.6390977443609,0.0006162246489859593
882.7067669172932,0.0005694227769110764
915.7894736842105,0.0005304212168486739
944.3609022556391,0.0004914196567862714
970.6766917293232,0.00046021840873634943
997.7443609022556,0.0004212168486739469
1001,0.0004212168486739469